Rep	Year	PatchID0	PatchID1	Distance	MeanNAlleles	FIS	FIT	FST	MeanD	HarmMeanD
0	40	-1	-1	-1	21	-0.000753732	0.411461	0.411904	0.879919	0.879464
0	40	90	248	2875.64	6	-0.0109599	0.493053	0.498548	0.968453	0.96117
0	40	90	525	925.014	7.53333	-0.00672202	0.287108	0.291868	0.796105	0.632078
0	40	90	622	4083.97	6.13333	0.0140986	0.444494	0.43655	0.843232	0.665517
0	40	90	764	2898.04	10.7333	0.00100884	0.216899	0.216109	0.775492	0.662227
0	40	90	892	1975.16	5.4	0.011219	0.521041	0.515607	0.909503	0.85611
0	40	90	970	1417.36	5.66667	0.0524847	0.483498	0.454888	0.847921	0.732481
0	40	90	1182	2832.12	10.3333	0.00527095	0.217353	0.213206	0.761221	0.60907
0	40	90	1306	4201.21	5.26667	-0.0306642	0.427504	0.444536	0.824385	0.579226
0	40	90	1442	3168.3	11.8667	0.0120355	0.22413	0.214679	0.82125	0.788386
0	40	90	1497	3506.38	7.66667	0.0220861	0.296715	0.280831	0.823544	0.498406
0	40	90	1555	2270.93	7.4	0.0207682	0.347664	0.333828	0.835127	0.680862
0	40	90	1673	3370.52	5.73333	0.015416	0.524641	0.517198	0.946861	0.927687
0	40	90	2097	4974.94	8.33333	0.00374532	0.32218	0.319632	0.89705	0.87711
0	40	248	525	2438.7	6.46667	-0.0418613	0.442171	0.464585	0.885055	0.655706
0	40	248	622	1270.47	4.4	-0.0254328	0.59596	0.605981	0.871241	0.681535
0	40	248	764	875.685	9.13333	-0.0275701	0.357473	0.374712	0.827417	0.781985
0	40	248	892	1611.16	4	-0.0375983	0.676655	0.688372	0.974028	0.959188
0	40	248	970	3801.18	4.4	0.0279969	0.663964	0.654285	0.995252	0.995121
0	40	248	1182	1660.12	9.73333	-0.0220749	0.375574	0.38906	0.884329	0.869207
0	40	248	1306	1765.51	3.86667	-0.0925298	0.59958	0.633493	0.915928	0.828476
0	40	248	1442	2013.31	10.4	-0.0130332	0.36856	0.376683	0.879807	0.860751
0	40	248	1497	2051.25	6.2	-0.00366363	0.430696	0.432775	0.814409	0.647252
0	40	248	1555	3603.1	5.66667	-0.00769587	0.487363	0.491278	0.856302	0.392231
0	40	248	1673	2330.82	4.26667	-0.0301845	0.676667	0.68614	1	1
0	40	248	2097	3166.2	6.53333	-0.0287478	0.451247	0.466581	0.852686	0.76557
0	40	525	622	3515.43	6.33333	-0.015611	0.40734	0.41645	0.807392	0.684628
0	40	525	764	2215.9	10.4	-0.0200597	0.167913	0.184276	0.679456	0.544357
0	40	525	892	1157.67	5.66667	-0.0222018	0.474891	0.486296	0.862664	0.821164
0	40	525	970	1363.47	6.53333	0.020652	0.484378	0.473504	0.940077	0.914189
0	40	525	1182	1984.45	11.0667	-0.0158174	0.188195	0.200836	0.741986	0.681733
