Rep	Year	PatchID0	PatchID1	Distance	MeanNAlleles	FIS	FIT	FST	MeanD	HarmMeanD
0	40	892	1673	1471.06	3.4	-0.0529586	0.688704	0.704361	0.933333	1.07143
0	40	892	2097	3007.61	3.6	0.0134227	0.68456	0.680269	0.877934	0.363412
0	40	970	1182	3099.19	9.73333	0.024625	0.427805	0.413359	0.854652	0.377024
0	40	970	1306	4693.09	4.26667	0.00856698	0.639623	0.636509	0.882553	0.489612
0	40	970	1442	3291.58	9.2	0.0106105	0.449834	0.443934	0.927997	0.916765
0	40	970	1497	3665.12	6.8	-0.0121513	0.531163	0.536792	0.947362	0.919616
0	40	970	1555	1322.96	5.86667	0.00971066	0.544707	0.540242	0.931675	0.910137
0	40	970	1673	3370.46	4.2	-0.0304692	0.697343	0.706292	0.969735	0.950779
0	40	970	2097	5034.61	4.4	0.0257814	0.6981	0.690111	0.965799	0.949373
0	40	1182	1306	1622.23	9.2	0.014051	0.385157	0.376395	0.866342	0.845595
0	40	1182	1442	417.163	10.8667	0.0140563	0.134263	0.121921	0.533015	0.442537
0	40	1182	1497	683.1	10.8667	-0.000124735	0.244202	0.244296	0.752654	0.653476
0	40	1182	1555	2379.44	10.2667	0.0139529	0.27644	0.266202	0.808945	0.730141
0	40	1182	1673	728.371	9.06667	-0.00625457	0.434052	0.43757	0.899164	0.819936
0	40	1182	2097	2150.17	9.53333	0.0237983	0.423468	0.409413	0.854696	0.760228
0	40	1306	1442	1597.03	8.4	0.000906618	0.371898	0.371328	0.812625	0.781715
0	40	1306	1497	1301.42	6.26667	-0.0215598	0.460134	0.471527	0.889146	0.650346
0	40	1306	1555	3985.91	5.73333	-0.00180571	0.510149	0.511032	0.982016	0.980417
0	40	1306	1673	1748.89	3.86667	-0.0421304	0.63931	0.653892	0.927776	0.756018
0	40	1306	2097	1571.34	4.06667	0.00769522	0.626016	0.623116	0.863799	0.457034
0	40	1442	1497	373.631	10.5333	-0.0113155	0.266423	0.274631	0.848996	0.757976
0	40	1442	1555	2419.35	9.66667	0.00281618	0.279501	0.277466	0.827894	0.753849
0	40	1442	1673	321.403	8.66667	-0.0209987	0.426479	0.438275	0.857367	0.772933
0	40	1442	2097	1812.02	8.86667	0.01002	0.427262	0.421465	0.862608	0.828066
0	40	1497	1555	2775.36	7.46667	-0.0154477	0.378538	0.387992	0.939919	0.934579
0	40	1497	1673	447.772	6	-0.0502418	0.519684	0.542662	0.944136	0.937506
0	40	1497	2097	1469.5	6.46667	-0.0123692	0.520404	0.526264	0.940706	0.914885
0	40	1555	1673	2391.41	5.2	-0.0287842	0.525322	0.538603	0.881805	0.769418
0	40	1555	2097	3981.35	5.2	0.009016	0.499092	0.494535	0.802147	0.615729
0	40	1673	2097	1668.18	3.93333	-0.0302048	0.675685	0.685194	0.920405	0.412386
0	40	-999	-999	91	-999	-0.0746	0.367853	0.370881	0.273924	0.0259596
0	50	-1	-1	-1	18.4667	-0.0105354	0.588019	0.592314	0.916326	0.915902
0	50	90	248	2875.64	2.6	-0.00651539	0.859328	0.860238	0.931393	1.06914
0	50	90	525	925.014	4.33333	-0.0663652	0.624488	0.647858	0.878526	0.789212
0	50	90	622	4083.97	3	-0.0303592	0.789568	0.795769	0.916029	0.179367
0	50	90	764	2898.04	7	-0.0233705	0.492298	0.503893	0.9335	0.909627
0	50	90	892	1975.16	3	-0.0447973	0.806667	0.814956	1	1
0	50	90	970	1417.36	2.93333	0.00961712	0.785506	0.783424	0.856577	1.13823
0	50	90	1182	2832.12	7.4	0.0234132	0.505869	0.494022	0.886267	0.846706
0	50	90	1306	4201.21	3.26667	-0.0020284	0.711485	0.712069	0.886296	0.991077
0	50	90	1442	3168.3	7.2	-0.0114333	0.495405	0.501109	0.916793	0.867397
0	50	90	1497	3506.38	4.46667	0.02395	0.614349	0.604886	0.918533	0.793368
0	50	90	1555	2270.93	4.86667	0.00044964	0.580156	0.579967	0.885619	0.546058
0	50	90	1673	3370.52	3.2	0.02138	0.823333	0.819474	1	1
0	50	90	2097	4974.94	3.33333	-0.0401733	0.766387	0.775409	0.988062	0.985667
0	50	248	525	2438.7	4	-0.0889645	0.699521	0.724069	0.942487	0.904067
0	50	248	622	1270.47	2.66667	-0.0566883	0.885757	0.891885	1	1
0	50	248	764	875.685	6.6	-0.0244268	0.534154	0.545262	0.892107	0.829686
0	50	248	892	1611.16	2.4	-0.0883943	0.879476	0.889264	0.908469	0.755633
0	50	248	970	3801.18	2.53333	0.0254233	0.90368	0.901167	0.92822	1.06511
0	50	248	1182	1660.12	7.06667	0.0341439	0.564566	0.549173	0.900696	0.86527
0	50	248	1306	1765.51	2.93333	0.00181884	0.801478	0.801116	0.917395	0.771672
0	50	248	1442	2013.31	6.73333	-0.0094891	0.544052	0.548338	0.90556	0.745125
0	50	248	1497	2051.25	4.33333	0.0370226	0.670184	0.657504	0.901443	0.708083
0	50	248	1555	3603.1	4.6	0.00547664	0.659195	0.657318	0.944486	0.907385
0	50	248	1673	2330.82	2.66667	0.0513918	0.905984	0.900891	0.98736	0.984643
0	50	248	2097	3166.2	2.8	-0.0658051	0.821506	0.832526	0.866883	0.0467416
0	50	525	622	3515.43	4.46667	-0.0847937	0.656696	0.683531	0.96785	0.959274
