PatchID0,PatchID1,MeanD,Tree_disease,Management,Replicate,method
248,1442,0.963996,80,40,1,RS
248,1497,1,80,40,1,RS
248,1555,0.810207,80,40,1,RS
248,1673,0.933737,80,40,1,RS
248,2097,0.933333,80,40,1,RS
525,764,0.858194,80,40,1,RS
525,892,1,80,40,1,RS
525,1182,0.908858,80,40,1,RS
525,1306,0.878618,80,40,1,RS
525,1442,0.912421,80,40,1,RS
525,1497,0.845599,80,40,1,RS
525,1555,0.917535,80,40,1,RS
525,1673,0.709543,80,40,1,RS
525,2097,0.925599,80,40,1,RS
764,892,0.852622,80,40,1,RS
764,1182,0.823066,80,40,1,RS
764,1306,0.936045,80,40,1,RS
764,1442,0.867874,80,40,1,RS
764,1497,0.731276,80,40,1,RS
764,1555,0.860284,80,40,1,RS
764,1673,0.927963,80,40,1,RS
764,2097,0.899956,80,40,1,RS
892,1182,0.918505,80,40,1,RS
892,1306,0.917365,80,40,1,RS
892,1442,0.908936,80,40,1,RS
892,1497,0.894253,80,40,1,RS
892,1555,0.905085,80,40,1,RS
892,1673,1,80,40,1,RS
892,2097,1,80,40,1,RS
1182,1306,0.903057,80,40,1,RS
1182,1442,0.584975,80,40,1,RS
1182,1497,0.910656,80,40,1,RS
1182,1555,0.808016,80,40,1,RS
1182,1673,0.896692,80,40,1,RS
1182,2097,0.962608,80,40,1,RS
1306,1442,0.86612,80,40,1,RS
1306,1497,0.896423,80,40,1,RS
1306,1555,0.818575,80,40,1,RS
1306,1673,1,80,40,1,RS
1306,2097,0.833755,80,40,1,RS
1442,1497,0.90041,80,40,1,RS
1442,1555,0.861727,80,40,1,RS
1442,1673,0.867435,80,40,1,RS
1442,2097,0.863531,80,40,1,RS
1497,1555,0.887027,80,40,1,RS
1497,1673,0.862441,80,40,1,RS
1497,2097,0.941008,80,40,1,RS
1555,1673,0.971937,80,40,1,RS
1555,2097,0.988791,80,40,1,RS
1673,2097,0.881964,80,40,1,RS
90,525,0.807786,80,80,1,RS
90,622,0.933333,80,80,1,RS
90,764,0.77585,80,80,1,RS
90,892,1,80,80,1,RS
90,1182,0.896265,80,80,1,RS
90,1306,0.8,80,80,1,RS
90,1442,0.962675,80,80,1,RS
90,1497,0.923035,80,80,1,RS
90,1555,0.81861,80,80,1,RS
90,1673,0.960035,80,80,1,RS
90,2097,0.975083,80,80,1,RS
525,622,0.933333,80,80,1,RS
525,764,0.838631,80,80,1,RS
525,892,0.933333,80,80,1,RS
525,1182,0.983925,80,80,1,RS
525,1306,0.871408,80,80,1,RS
525,1442,0.919853,80,80,1,RS
525,1497,0.960922,80,80,1,RS
525,1555,0.926488,80,80,1,RS
525,1673,0.950859,80,80,1,RS
525,2097,1,80,80,1,RS
622,764,0.955574,80,80,1,RS
622,892,1,80,80,1,RS
622,1182,0.955581,80,80,1,RS
622,1306,0.866667,80,80,1,RS
622,1442,0.8865,80,80,1,RS
622,1497,0.898514,80,80,1,RS
622,1555,0.933333,80,80,1,RS
622,1673,1,80,80,1,RS
622,2097,0.866667,80,80,1,RS
764,892,0.91951,80,80,1,RS
764,1182,0.819399,80,80,1,RS
764,1306,0.900159,80,80,1,RS
764,1442,0.773893,80,80,1,RS
764,1497,0.690906,80,80,1,RS
764,1555,0.864115,80,80,1,RS
764,1673,0.947187,80,80,1,RS
764,2097,0.846971,80,80,1,RS
892,1182,0.986915,80,80,1,RS
892,1306,0.933333,80,80,1,RS
892,1442,0.974565,80,80,1,RS
892,1497,0.979992,80,80,1,RS
892,1555,1,80,80,1,RS
892,1673,1,80,80,1,RS
892,2097,1,80,80,1,RS
1182,1306,0.916078,80,80,1,RS
1182,1442,0.403085,80,80,1,RS
1182,1497,0.79779,80,80,1,RS
1182,1555,0.748118,80,80,1,RS
1182,1673,0.842165,80,80,1,RS
1182,2097,0.990517,80,80,1,RS
1306,1442,0.946176,80,80,1,RS
1306,1497,0.973067,80,80,1,RS
1306,1555,0.981727,80,80,1,RS
1306,1673,0.971377,80,80,1,RS
1306,2097,1,80,80,1,RS
1442,1497,0.681217,80,80,1,RS
1442,1555,0.785056,80,80,1,RS
1442,1673,0.896526,80,80,1,RS
1442,2097,0.93861,80,80,1,RS
1497,1555,0.886895,80,80,1,RS
1497,1673,0.960373,80,80,1,RS
1497,2097,0.807774,80,80,1,RS
1555,1673,0.934373,80,80,1,RS
1555,2097,0.93001,80,80,1,RS
1673,2097,1,80,80,1,RS
90,248,0.813039108,0,0,1,R
90,525,0.801829445,0,0,1,R
90,622,0.711655157,0,0,1,R
90,764,0.797991159,0,0,1,R
90,892,0.838147142,0,0,1,R
90,970,0.856285353,0,0,1,R
90,1182,0.795746749,0,0,1,R
90,1306,0.817294213,0,0,1,R
90,1442,0.768483226,0,0,1,R
90,1497,0.786378106,0,0,1,R
90,1555,0.784719979,0,0,1,R
90,1673,0.930469231,0,0,1,R
90,2097,0.71837994,0,0,1,R
248,525,0.815004741,0,0,1,R
248,622,0.863491673,0,0,1,R
248,764,0.814309218,0,0,1,R
248,892,0.940248023,0,0,1,R
248,970,0.938657978,0,0,1,R
248,1182,0.81198081,0,0,1,R
248,1306,0.912987975,0,0,1,R
248,1442,0.812006779,0,0,1,R
248,1497,0.898847195,0,0,1,R
248,1555,0.892548077,0,0,1,R
248,1673,0.904574897,0,0,1,R
248,2097,0.837647355,0,0,1,R
525,622,0.846449305,0,0,1,R
525,764,0.705218352,0,0,1,R
525,892,0.866826193,0,0,1,R
525,970,0.845668618,0,0,1,R
525,1182,0.586258849,0,0,1,R
525,1306,0.737227341,0,0,1,R
525,1442,0.621463306,0,0,1,R
525,1497,0.773850793,0,0,1,R
525,1555,0.744760653,0,0,1,R
525,1673,0.837898444,0,0,1,R
525,2097,0.692714871,0,0,1,R
622,764,0.836847948,0,0,1,R
622,892,0.817029844,0,0,1,R
622,970,0.853110615,0,0,1,R
622,1182,0.76140133,0,0,1,R
622,1306,0.777795141,0,0,1,R
622,1442,0.780936928,0,0,1,R
622,1497,0.761411131,0,0,1,R
622,1555,0.879146576,0,0,1,R
622,1673,0.934029225,0,0,1,R
622,2097,0.726430386,0,0,1,R
764,892,0.764295533,0,0,1,R
764,970,0.845225064,0,0,1,R
764,1182,0.604018619,0,0,1,R
764,1306,0.698213888,0,0,1,R
764,1442,0.555163858,0,0,1,R
764,1497,0.800400815,0,0,1,R
764,1555,0.689554737,0,0,1,R
764,1673,0.766357227,0,0,1,R
764,2097,0.735378434,0,0,1,R
892,970,0.942962808,0,0,1,R
892,1182,0.901710089,0,0,1,R
892,1306,0.897585205,0,0,1,R
892,1442,0.930760404,0,0,1,R
892,1497,0.868291736,0,0,1,R
892,1555,0.811950962,0,0,1,R
892,1673,0.725111193,0,0,1,R
892,2097,0.851863945,0,0,1,R
970,1182,0.831210357,0,0,1,R
970,1306,0.858791953,0,0,1,R
970,1442,0.70793234,0,0,1,R
970,1497,0.84996354,0,0,1,R
970,1555,0.863442722,0,0,1,R
970,1673,0.782063881,0,0,1,R
970,2097,0.803693653,0,0,1,R
1182,1306,0.754165676,0,0,1,R
1182,1442,0.272986211,0,0,1,R
1182,1497,0.713155135,0,0,1,R
1182,1555,0.746489516,0,0,1,R
1182,1673,0.763807956,0,0,1,R
1182,2097,0.568284314,0,0,1,R
1306,1442,0.81234983,0,0,1,R
1306,1497,0.863726473,0,0,1,R
1306,1555,0.799060225,0,0,1,R
1306,1673,0.922246222,0,0,1,R
1306,2097,0.752702087,0,0,1,R
1442,1497,0.6284791,0,0,1,R
1442,1555,0.758330915,0,0,1,R
1442,1673,0.843974882,0,0,1,R
1442,2097,0.615646474,0,0,1,R
1497,1555,0.751906491,0,0,1,R
1497,1673,0.890837999,0,0,1,R
1497,2097,0.843058808,0,0,1,R
1555,1673,0.762816981,0,0,1,R
1555,2097,0.790340435,0,0,1,R
1673,2097,0.87981445,0,0,1,R
90,248,0.937168395,70,0,1,R
90,525,0.90970657,70,0,1,R
90,622,0.856472381,70,0,1,R
90,764,0.790378206,70,0,1,R
90,892,0.998651063,70,0,1,R
90,970,0.925381198,70,0,1,R
90,1182,0.806255583,70,0,1,R
90,1306,0.938830767,70,0,1,R
90,1442,0.948603602,70,0,1,R
90,1497,0.941995441,70,0,1,R
90,1555,0.816479064,70,0,1,R
90,1673,0.80374834,70,0,1,R
90,2097,0.953298851,70,0,1,R
248,525,0.970332608,70,0,1,R
248,622,0.972734769,70,0,1,R
248,764,0.95501676,70,0,1,R
248,892,0.996389864,70,0,1,R
248,970,0.896396519,70,0,1,R
248,1182,0.957397101,70,0,1,R
248,1306,0.892203172,70,0,1,R
248,1442,0.886268152,70,0,1,R
248,1497,0.896040654,70,0,1,R
248,1555,0.843246701,70,0,1,R
248,1673,1.002800308,70,0,1,R
248,2097,0.952820896,70,0,1,R
525,622,1.003192102,70,0,1,R
525,764,0.900470116,70,0,1,R
525,892,0.991474839,70,0,1,R
525,970,0.957156319,70,0,1,R
525,1182,0.921017439,70,0,1,R
525,1306,1.001850965,70,0,1,R
525,1442,0.918322688,70,0,1,R
525,1497,0.861679826,70,0,1,R
525,1555,0.999690605,70,0,1,R
525,1673,0.825314247,70,0,1,R
525,2097,0.896903287,70,0,1,R
622,764,0.852943088,70,0,1,R
622,892,1.005915385,70,0,1,R
622,970,0.916877643,70,0,1,R
622,1182,0.706984046,70,0,1,R
622,1306,0.787533757,70,0,1,R
622,1442,0.818953738,70,0,1,R
622,1497,0.877633265,70,0,1,R
622,1555,1.002493288,70,0,1,R
622,1673,0.962771336,70,0,1,R
622,2097,0.943669156,70,0,1,R
764,892,0.89382816,70,0,1,R
764,970,0.954242985,70,0,1,R
764,1182,0.761989541,70,0,1,R
764,1306,0.991131741,70,0,1,R
764,1442,0.854730196,70,0,1,R
764,1497,0.845683692,70,0,1,R
764,1555,0.886966652,70,0,1,R
764,1673,0.987720566,70,0,1,R
764,2097,0.935323117,70,0,1,R
892,970,0.898151649,70,0,1,R
892,1182,0.867729722,70,0,1,R
892,1306,0.889651971,70,0,1,R
892,1442,0.9247567,70,0,1,R
892,1497,0.993894719,70,0,1,R
892,1555,0.813991526,70,0,1,R
892,1673,1.001691264,70,0,1,R
892,2097,0.996454062,70,0,1,R
970,1182,0.883350695,70,0,1,R
970,1306,0.759467332,70,0,1,R
970,1442,0.918038227,70,0,1,R
970,1497,0.934459912,70,0,1,R
970,1555,0.894997409,70,0,1,R
970,1673,0.789437733,70,0,1,R
