Rep	Year	PatchID0	PatchID1	Distance	MeanNAlleles	FIS	FIT	FST	MeanD	HarmMeanD
0	40	-1	-1	-1	19.8667	-0.00800456	0.480054	0.484183	0.899651	0.899034
0	40	90	248	2875.64	3.73333	0.0231851	0.741061	0.734915	0.980745	0.973639
0	40	90	525	925.014	6.2	-0.0443473	0.470062	0.492565	0.944446	0.913884
0	40	90	622	4083.97	3.86667	-0.0404762	0.672043	0.684802	0.890414	0.73597
0	40	90	764	2898.04	9.06667	-0.0222289	0.372831	0.38647	0.875097	0.836929
0	40	90	892	1975.16	3.8	0.039996	0.679468	0.666114	0.854	0.39352
0	40	90	970	1417.36	3.73333	0.0415929	0.698253	0.685158	0.921526	0.869102
0	40	90	1182	2832.12	8.4	-0.0153017	0.407629	0.416556	0.853782	0.766084
0	40	90	1306	4201.21	4.26667	-0.0513287	0.616355	0.635086	0.985233	0.983968
0	40	90	1442	3168.3	10.5333	-0.00527627	0.371764	0.375062	0.884389	0.848858
0	40	90	1497	3506.38	6.26667	0.0270175	0.504189	0.490421	0.93758	0.879578
0	40	90	1555	2270.93	6.2	-0.0218096	0.469478	0.480801	0.929173	0.8978
0	40	90	1673	3370.52	4.33333	-0.00643564	0.624923	0.627322	0.913467	0.48274
0	40	90	2097	4974.94	5.26667	-0.064738	0.506898	0.53688	0.919196	0.467003
0	40	248	525	2438.7	5.13333	-0.0193715	0.562774	0.571083	0.884206	0.817314
0	40	248	622	1270.47	3	0.0114676	0.802003	0.799706	0.979362	0.970976
0	40	248	764	875.685	8.26667	0.00289503	0.482716	0.481214	0.871617	0.844628
0	40	248	892	1611.16	2.86667	0.176072	0.845859	0.812919	0.877287	0.578966
0	40	248	970	3801.18	2.93333	0.136105	0.821196	0.793026	0.942263	0.698789
0	40	248	1182	1660.12	7.46667	0.0129668	0.523774	0.517518	0.909508	0.865111
0	40	248	1306	1765.51	3.26667	-0.0169067	0.698586	0.703597	0.867052	0.670717
0	40	248	1442	2013.31	9.66667	0.0225464	0.467908	0.455635	0.86068	0.781986
0	40	248	1497	2051.25	5.33333	0.0702595	0.612192	0.582886	0.943431	0.868024
0	40	248	1555	3603.1	5.2	0.00841659	0.563688	0.559984	0.84877	0.477501
0	40	248	1673	2330.82	3.33333	0.0472412	0.749874	0.737472	0.972106	0.967897
0	40	248	2097	3166.2	4.46667	-0.0418344	0.642063	0.656436	0.980614	0.973393
0	40	525	622	3515.43	5.33333	-0.0595592	0.518988	0.546027	0.871453	0.759217
0	40	525	764	2215.9	9.86667	-0.0370416	0.216825	0.244799	0.795944	0.740295
0	40	525	892	1157.67	5.26667	-0.00905532	0.516237	0.520579	0.861953	0.704984
0	40	525	970	1363.47	5.46667	-0.00275089	0.54748	0.548721	0.912038	0.821453
0	40	525	1182	1984.45	8.8	-0.0320808	0.229479	0.25343	0.723119	0.00470873
0	40	525	1306	3473.16	5.4	-0.0649166	0.398582	0.435244	0.751004	0.523431
0	40	525	1442	2286.16	10.8667	-0.0228404	0.203442	0.221229	0.758031	0.674747
0	40	525	1497	2639.04	7.2	-0.000208899	0.337626	0.337765	0.842453	0.742381
0	40	525	1555	1599.98	7.2	-0.0386106	0.264398	0.291744	0.735058	0.0811579
0	40	525	1673	2466.4	5.46667	-0.0324786	0.438505	0.456168	0.794296	0.69405
0	40	525	2097	4098.16	6.86667	-0.0734463	0.376122	0.418808	0.925924	0.859901
0	40	622	764	1353.38	8.53333	-0.032067	0.430851	0.448535	0.864148	0.832752
0	40	622	892	2465.49	3.2	0.0302658	0.784717	0.777998	0.950308	0.895835
0	40	622	970	4840.96	3.06667	0.0371622	0.754188	0.7447	0.879831	0.652323
0	40	622	1182	2032.95	7.8	-0.0248186	0.48569	0.498145	0.943189	0.908222
0	40	622	1306	927.214	3.53333	-0.0746796	0.665462	0.688709	0.932026	0.858279
0	40	622	1442	2182.41	10	-0.0127932	0.430773	0.437964	0.873879	0.832654
0	40	622	1497	1995.28	5.73333	0.0224833	0.573575	0.563767	0.990629	0.989511
0	40	622	1555	4369.18	5.33333	-0.033417	0.50781	0.523725	0.858475	0.69238
0	40	622	1673	2421.91	3.53333	-0.020519	0.692427	0.698612	0.933573	0.906627
0	40	622	2097	2494.28	4.53333	-0.085843	0.587223	0.619855	0.941282	0.924189
0	40	764	892	1117.02	8.66667	0.0137787	0.441905	0.434107	0.913998	0.900185
0	40	764	970	3507.41	8.46667	0.0147319	0.458319	0.450219	0.866108	0.824266
0	40	764	1182	818.184	11.6667	-0.0169377	0.155945	0.170004	0.70221	0.648898
0	40	764	1306	1308.15	8.93333	-0.0397301	0.362807	0.387156	0.893217	0.855229
0	40	764	1442	1141.6	13.4	-0.00954921	0.116042	0.124403	0.642145	0.57013
0	40	764	1497	1185.01	10.4	0.0121157	0.245083	0.235824	0.795384	0.749159
0	40	764	1555	3030.81	9.8	-0.0215549	0.204978	0.221753	0.751888	0.585187
0	40	764	1673	1456.79	8.73333	-0.0120646	0.378486	0.385895	0.857128	0.827175
0	40	764	2097	2428.42	9.6	-0.0498498	0.283272	0.317304	0.884951	0.868636
0	40	892	970	2395.01	3.13333	0.172853	0.807957	0.767824	0.918437	0.811317
0	40	892	1182	858.516	7.86667	0.0247007	0.483691	0.470615	0.934802	0.894873
0	40	892	1306	2323.04	3.66667	-0.00449437	0.700524	0.701864	0.992477	0.991592
0	40	892	1442	1221.32	9.66667	0.0343312	0.428868	0.408563	0.873676	0.852964
