Rep	Year	RepSeason	PatchID	Ncells	Species	NInd	Nfemales	Nmales
0	58	0	307	18	0	7	6	1
0	58	0	308	122	0	0	0	0
0	58	0	310	7	0	5	2	3
0	58	0	313	6	0	5	2	3
0	58	0	314	20	0	5	2	3
0	58	0	315	62	0	6	5	1
0	58	0	316	26	0	0	0	0
0	58	0	317	17	0	0	0	0
0	58	0	320	19	0	0	0	0
0	58	0	330	9	0	5	2	3
0	58	0	332	30	0	1	1	0
0	58	0	335	166	0	15	5	10
0	58	0	336	479	0	53	29	24
0	58	0	337	295	0	37	21	16
0	58	0	338	7	0	8	6	2
0	58	0	339	9	0	1	1	0
0	58	0	342	193	0	23	12	11
0	58	0	345	8	0	0	0	0
0	58	0	350	21	0	10	4	6
0	58	0	352	5	0	2	2	0
0	58	0	360	433	0	52	22	30
0	58	0	367	27	0	3	2	1
0	58	0	369	13	0	0	0	0
0	58	0	375	10	0	4	3	1
0	58	0	382	15	0	4	2	2
0	58	0	383	18	0	6	3	3
0	58	0	388	191	0	25	11	14
0	58	0	391	144	0	41	27	14
0	58	0	392	5	0	1	1	0
0	58	0	393	15	0	5	3	2
0	58	0	399	10	0	9	4	5
0	58	0	401	26	0	3	3	0
0	58	0	406	74	0	23	8	15
0	58	0	408	205	0	29	16	13
0	58	0	412	20	0	19	12	7
0	58	0	415	167	0	26	15	11
0	58	0	416	642	0	44	21	23
0	58	0	417	15	0	3	2	1
0	58	0	418	5	0	1	1	0
0	58	0	419	64	0	8	5	3
0	58	0	422	13	0	2	1	1
0	58	0	423	112	0	21	10	11
0	58	0	425	10	0	65	36	29
0	58	0	428	32	0	0	0	0
0	58	0	429	400	0	39	16	23
0	58	0	435	18	0	2	1	1
0	58	0	436	51	0	12	6	6
0	58	0	437	787	0	64	36	28
0	58	0	439	3630	0	370	200	170
0	58	0	440	5	0	0	0	0
0	58	0	441	18	0	8	5	3
0	58	0	443	46	0	8	5	3
0	58	0	445	6	0	1	1	0
0	58	0	449	36	0	1	1	0
0	58	0	450	108	0	28	16	12
0	58	0	452	195	0	9	4	5
0	58	0	457	13	0	5	2	3
0	58	0	460	85	0	10	5	5
0	58	0	468	51	0	11	8	3
0	58	0	470	9	0	0	0	0
0	58	0	474	63	0	15	10	5
0	58	0	481	122	0	0	0	0
0	58	0	487	15	0	0	0	0
0	58	0	488	19	0	19	14	5
0	58	0	490	8	0	5	3	2
0	58	0	492	15	0	3	3	0
0	58	0	494	5	0	8	4	4
0	58	0	495	92	0	12	6	6
0	58	0	497	8	0	3	2	1
0	58	0	503	10	0	0	0	0
0	58	0	504	13	0	1	1	0
0	58	0	505	485	0	35	19	16
0	58	0	511	11	0	4	3	1
0	58	0	513	38	0	0	0	0
0	58	0	514	205	0	23	9	14
0	58	0	515	15	0	0	0	0
0	58	0	516	10	0	3	2	1
0	58	0	518	85	0	14	7	7
0	58	0	520	12	0	0	0	0
0	58	0	521	28	0	0	0	0
0	58	0	523	9	0	2	2	0
0	58	0	524	35	0	8	4	4
0	58	0	525	2009	0	172	89	83
0	58	0	528	80	0	8	3	5
0	58	0	534	17	0	3	1	2
0	58	0	544	16	0	0	0	0
0	58	0	545	112	0	0	0	0
0	58	0	551	9	0	0	0	0
0	58	0	553	6	0	1	1	0
0	58	0	554	24	0	0	0	0
0	58	0	558	17	0	6	3	3
0	58	0	560	15	0	8	4	4
0	58	0	561	32	0	3	1	2
0	58	0	563	14	0	5	3	2
0	58	0	566	10	0	0	0	0
0	58	0	568	36	0	7	2	5
0	58	0	569	22	0	5	3	2
0	58	0	573	10	0	3	2	1
0	58	0	574	6	0	2	1	1
0	58	0	576	8	0	1	1	0
0	58	0	578	20	0	1	1	0
0	58	0	582	371	0	38	15	23
0	58	0	584	8	0	1	1	0
0	58	0	589	9	0	5	1	4
0	58	0	590	32	0	12	5	7
0	58	0	598	800	0	60	33	27
0	58	0	604	6	0	7	4	3
0	58	0	610	28	0	10	3	7
0	58	0	612	41	0	13	6	7
0	58	0	613	22	0	0	0	0
0	58	0	619	28	0	15	6	9
0	58	0	621	20	0	1	1	0
0	58	0	622	1001	0	86	40	46
0	58	0	623	7	0	8	3	5
0	58	0	632	10	0	0	0	0
0	58	0	640	9	0	7	3	4
0	58	0	642	47	0	0	0	0
0	58	0	648	381	0	60	25	35
0	58	0	650	5	0	1	1	0
0	58	0	655	5	0	0	0	0
0	58	0	656	52	0	12	4	8
0	58	0	657	71	0	13	6	7
0	58	0	660	13	0	5	4	1
0	58	0	661	26	0	9	6	3
0	58	0	663	41	0	0	0	0
0	58	0	665	26	0	9	7	2
0	58	0	669	10	0	0	0	0
0	58	0	671	51	0	2	1	1
0	58	0	679	5	0	0	0	0
0	58	0	680	55	0	0	0	0
0	58	0	686	20	0	0	0	0
0	58	0	700	12	0	2	1	1
0	58	0	704	16	0	9	7	2
0	58	0	705	6	0	0	0	0
0	58	0	706	18	0	3	3	0
0	58	0	707	166	0	11	4	7
0	58	0	709	9	0	0	0	0
0	58	0	713	16	0	9	4	5
0	58	0	716	11	0	9	5	4
0	58	0	721	5	0	3	0	3
0	58	0	722	46	0	8	4	4
0	58	0	726	40	0	5	4	1
0	58	0	728	194	0	19	6	13
0	58	0	732	23	0	10	4	6
0	58	0	735	54	0	10	4	6
0	58	0	737	22	0	7	2	5
0	58	0	739	23	0	7	3	4
0	58	0	745	15	0	0	0	0
0	58	0	751	9	0	7	2	5
0	58	0	753	13	0	13	9	4
0	58	0	754	7	0	1	1	0
0	58	0	755	13	0	1	1	0
0	58	0	758	273	0	35	19	16
0	58	0	759	44	0	8	3	5
0	58	0	762	85	0	10	5	5
0	58	0	764	4007	0	335	172	163
0	58	0	765	26	0	0	0	0
0	58	0	768	13	0	11	6	5
0	58	0	772	47	0	8	4	4
0	58	0	773	24	0	17	9	8
0	58	0	777	24	0	12	7	5
0	58	0	787	127	0	18	6	12
0	58	0	790	58	0	11	5	6
0	58	0	795	8	0	0	0	0
0	58	0	797	12	0	0	0	0
0	58	0	798	10	0	0	0	0
0	58	0	799	29	0	3	2	1
0	58	0	800	25	0	9	5	4
0	58	0	803	143	0	11	6	5
0	58	0	808	78	0	15	7	8
0	58	0	809	6	0	4	3	1
0	58	0	815	21	0	0	0	0
0	58	0	816	42	0	5	2	3
0	58	0	817	113	0	14	7	7
0	58	0	821	5	0	0	0	0
0	58	0	824	112	0	12	3	9
0	58	0	825	24	0	12	6	6
0	58	0	830	10	0	2	1	1
0	58	0	833	203	0	27	13	14
0	58	0	834	12	0	8	4	4
0	58	0	836	7	0	0	0	0
0	58	0	844	214	0	36	15	21
0	58	0	846	112	0	12	2	10
0	58	0	847	26	0	6	4	2
0	58	0	849	8	0	0	0	0
0	58	0	850	61	0	6	5	1
0	58	0	858	37	0	14	5	9
0	58	0	860	8	0	1	1	0
0	58	0	863	49	0	15	9	6
0	58	0	864	34	0	2	1	1
0	58	0	870	79	0	3	3	0
0	58	0	872	189	0	17	7	10
0	58	0	876	69	0	40	20	20
0	58	0	880	9	0	0	0	0
0	58	0	885	27	0	6	2	4
0	58	0	887	5	0	2	1	1
0	58	0	890	19	0	13	8	5
0	58	0	892	737	0	56	29	27
0	58	0	893	68	0	17	9	8
0	58	0	895	7	0	2	1	1
0	58	0	896	132	0	46	23	23
0	58	0	898	65	0	14	6	8
0	58	0	899	12	0	1	1	0
0	58	0	900	31	0	5	2	3
0	58	0	903	5	0	0	0	0
0	58	0	907	66	0	2	0	2
0	58	0	914	7	0	0	0	0
0	58	0	918	28	0	0	0	0
0	58	0	920	15	0	0	0	0
0	58	0	921	20	0	10	6	4
0	58	0	922	5	0	2	2	0
0	58	0	925	83	0	0	0	0
0	58	0	927	11	0	0	0	0
0	58	0	930	7	0	0	0	0
0	58	0	931	973	0	96	47	49
0	58	0	937	18	0	4	3	1
0	58	0	939	12	0	0	0	0
0	58	0	941	39	0	0	0	0
0	58	0	949	8	0	0	0	0
0	58	0	950	74	0	17	4	13
0	58	0	951	85	0	5	2	3
0	58	0	952	20	0	8	7	1
0	58	0	953	44	0	12	5	7
0	58	0	954	28	0	5	4	1
0	58	0	955	43	0	10	6	4
0	58	0	962	12	0	6	1	5
0	58	0	963	5	0	3	2	1
0	58	0	966	45	0	6	1	5
0	58	0	970	650	0	64	30	34
0	58	0	974	261	0	12	6	6
0	58	0	976	130	0	12	4	8
0	58	0	977	23	0	2	2	0
0	58	0	980	6	0	0	0	0
0	58	0	987	41	0	4	3	1
0	58	0	989	14	0	0	0	0
0	58	0	998	32	0	0	0	0
0	58	0	1000	12	0	0	0	0
0	58	0	1001	36	0	0	0	0
0	58	0	1003	11	0	8	2	6
0	58	0	1005	42	0	0	0	0
0	58	0	1010	15	0	0	0	0
0	58	0	1011	8	0	0	0	0
0	58	0	1014	64	0	0	0	0
0	58	0	1015	74	0	15	6	9
0	58	0	1016	9	0	0	0	0
0	58	0	1021	8	0	2	1	1
0	58	0	1034	6	0	2	1	1
0	58	0	1041	19	0	6	2	4
0	58	0	1050	24	0	0	0	0
0	58	0	1053	135	0	18	11	7
0	58	0	1056	15	0	0	0	0
0	58	0	1060	10	0	0	0	0
0	58	0	1062	29	0	8	3	5
0	58	0	1063	11	0	6	4	2
0	58	0	1065	8	0	0	0	0
0	58	0	1073	52	0	0	0	0
0	58	0	1074	18	0	0	0	0
0	58	0	1082	16	0	4	2	2
0	58	0	1101	19	0	4	2	2
0	58	0	1104	1433	0	120	54	66
0	58	0	1105	40	0	7	5	2
0	58	0	1107	5	0	3	1	2
0	58	0	1108	7	0	0	0	0
0	58	0	1109	22	0	0	0	0
0	58	0	1111	167	0	18	6	12
0	58	0	1112	47	0	15	5	10
0	58	0	1123	100	0	0	0	0
0	58	0	1126	37	0	14	9	5
0	58	0	1127	20	0	5	3	2
0	58	0	1130	27	0	16	8	8
0	58	0	1133	12	0	0	0	0
0	58	0	1138	6	0	0	0	0
0	58	0	1141	6	0	1	1	0
0	58	0	1144	10	0	0	0	0
0	58	0	1148	9	0	3	1	2
0	58	0	1150	262	0	24	11	13
0	58	0	1151	9	0	2	2	0
0	58	0	1153	6	0	3	3	0
0	58	0	1154	31	0	5	3	2
0	58	0	1157	13	0	1	1	0
0	58	0	1159	3201	0	280	131	149
0	58	0	1160	149	0	16	6	10
0	58	0	1162	13	0	6	2	4
0	58	0	1163	37	0	7	2	5
0	58	0	1171	7	0	10	6	4
0	58	0	1172	10	0	0	0	0
0	58	0	1173	11	0	0	0	0
