Event,Number,Reps,Years,Time
Simulation,21,2,61,310
Simulation,22,2,61,123
Simulation,23,2,61,192
Simulation,24,2,61,272
Simulation,25,2,61,118
Simulation,26,2,61,178
Simulation,27,2,61,248
Landscape,10,,,2
Simulation,1,2,61,203
Simulation,2,2,61,323
Simulation,3,2,61,457
Simulation,4,2,61,177
Simulation,5,2,61,278
Simulation,6,2,61,380
Simulation,7,2,61,166
Simulation,8,2,61,259
Simulation,9,2,61,351
Simulation,10,2,61,157
Simulation,11,2,61,253
Simulation,12,2,61,359
Simulation,13,2,61,135
Simulation,14,2,61,221
Simulation,15,2,61,314
Simulation,16,2,61,134
Simulation,17,2,61,205
Simulation,18,2,61,289
Simulation,19,2,61,133
Simulation,20,2,61,213
Simulation,21,2,61,292
Simulation,22,2,61,102
Simulation,23,2,61,163
Simulation,24,2,61,229
Simulation,25,2,61,102
Simulation,26,2,61,156
Simulation,27,2,61,216
Landscape,11,,,2
Simulation,1,2,61,163
Simulation,2,2,61,255
Simulation,3,2,61,362
Simulation,4,2,61,141
Simulation,5,2,61,220
Simulation,6,2,61,333
Simulation,7,2,61,132
Simulation,8,2,61,205
Simulation,9,2,61,282
Simulation,10,2,61,122
Simulation,11,2,61,199
Simulation,12,2,61,284
Simulation,13,2,61,112
Simulation,14,2,61,174
Simulation,15,2,61,250
Simulation,16,2,61,104
Simulation,17,2,61,163
Simulation,18,2,61,233
Simulation,19,2,61,120
Simulation,20,2,61,195
Simulation,21,2,61,275
Simulation,22,2,61,111
Simulation,23,2,61,171
Simulation,24,2,61,243
Simulation,25,2,61,104
Simulation,26,2,61,158
Simulation,27,2,61,227
Landscape,12,,,2
Simulation,1,2,61,182
Simulation,2,2,61,288
Simulation,3,2,61,424
Simulation,4,2,61,169
Simulation,5,2,61,257
Simulation,6,2,61,349
Simulation,7,2,61,149
Simulation,8,2,61,228
Simulation,9,2,61,320
Simulation,10,2,61,139
Simulation,11,2,61,227
Simulation,12,2,61,319
Simulation,13,2,61,127
Simulation,14,2,61,200
Simulation,15,2,61,277
Simulation,16,2,61,114
Simulation,17,2,61,192
Simulation,18,2,61,269
Simulation,19,2,61,120
Simulation,20,2,61,188
Simulation,21,2,61,276
Simulation,22,2,61,108
Simulation,23,2,61,166
Simulation,24,2,61,238
Simulation,25,2,61,102
Simulation,26,2,61,161
Simulation,27,2,61,221
Landscape,13,,,1
Simulation,1,2,61,179
Simulation,2,2,61,285
Simulation,3,2,61,389
Simulation,4,2,61,155
Simulation,5,2,61,244
Simulation,6,2,61,343
Simulation,7,2,61,146
Simulation,8,2,61,220
Simulation,9,2,61,312
Simulation,10,2,61,138
Simulation,11,2,61,222
Simulation,12,2,61,315
Simulation,13,2,61,123
Simulation,14,2,61,188
Simulation,15,2,61,268
Simulation,16,2,61,114
Simulation,17,2,61,178
Simulation,18,2,61,252
Simulation,19,2,61,113
Simulation,20,2,61,184
Simulation,21,2,61,256
Simulation,22,2,61,91
Simulation,23,2,61,145
Simulation,24,2,61,201
Simulation,25,2,61,89
Simulation,26,2,61,137
Simulation,27,2,61,185
Landscape,14,,,2
Simulation,1,2,61,140
Simulation,2,2,61,220
Simulation,3,2,61,308
Simulation,4,2,61,119
Simulation,5,2,61,195
Simulation,6,2,61,269
Simulation,7,2,61,116
Simulation,8,2,61,181
Simulation,9,2,61,246
Simulation,10,2,61,105
Simulation,11,2,61,174
Simulation,12,2,61,244
