PatchID	Year_0	Year_2	Year_4	Year_6	Year_8	Year_10	Year_12	Year_14	Year_16	Year_18	Year_20	Year_22	Year_24	Year_26	Year_28	Year_30	Year_32	Year_34	Year_36	Year_38	Year_40	Year_42	Year_44	Year_46	Year_48	Year_50	Year_52	Year_54	Year_56	Year_58	Year_60
121	0	1	0	0.5	0.5	1	0.5	0.5	0.5	0.5	0	0.5	0	0	0	0	0.5	0	0.5	0	0	0	0	0.5	0.5	1	0	0	0	0	0.5
124	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
127	0	1	1	1	1	1	1	1	1	0.5	1	1	1	1	0.5	1	1	1	0.5	1	1	1	1	1	0.5	1	1	1	1	1	1
141	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.5	1	1	1	1	1	1	1	1	1	1	1
142	0	0	0	0.5	0	0	0	0	0.5	0.5	0	0.5	0	0	0.5	0.5	0	1	0	0.5	0	0.5	0	0.5	0	0	0	0.5	1	1	0
144	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
147	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.5	1	1	1	1	1	1	1	1	1	1
148	0	0.5	0.5	0.5	0.5	0	0.5	0	0.5	0.5	1	1	0.5	0.5	0.5	1	0.5	0.5	0.5	1	1	0.5	0.5	0.5	1	1	0.5	0.5	0.5	0	1
149	0.5	0.5	0.5	1	0.5	0	0	0	0.5	0.5	0.5	0	0.5	0	0	0	0	0	0.5	0.5	0	0.5	0.5	0	1	0	0.5	0.5	0.5	0	0
152	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
153	0	1	0.5	1	1	1	0	1	1	1	0.5	0	1	1	1	1	1	1	1	0.5	0.5	0.5	1	0.5	1	0.5	0.5	1	1	0.5	1
156	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
157	0	0.5	0.5	0.5	1	1	0	0.5	0.5	0.5	0	1	1	1	0.5	1	0	0.5	0.5	0.5	0.5	1	1	1	1	0.5	1	1	0.5	0.5	0.5
161	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0.5	0	0	0	0	0.5	0	0	0
170	0	0	0	0.5	0	0	0.5	0	0	0	0	0	0	0	0.5	0	0	0.5	0	0	0	0	0	0.5	0	0	0	0.5	0.5	0	0
171	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
173	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
174	0	1	1	1	1	1	0	0.5	1	1	1	1	1	1	1	0.5	1	1	0.5	1	1	0.5	1	1	1	0	0.5	1	1	1	1
179	0	0	0	0	0.5	0.5	0	0	0	0	0	0.5	0.5	0	0	0	0	0	0	0	0	0	0.5	0	0	0.5	0	0	0	0	0
183	0.5	1	0.5	0	0.5	0.5	0.5	0.5	0.5	1	0.5	1	1	1	0.5	0.5	0.5	0.5	0	1	0.5	0.5	0.5	0.5	0.5	1	1	1	0	0.5	0
184	1	1	1	1	1	1	1	1	1	1	0.5	1	1	1	1	1	1	1	1	1	1	0.5	1	1	1	1	1	1	1	1	1
187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
194	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0.5
195	1	1	1	1	1	1	1	1	1	0.5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
198	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
204	0	0.5	0	0	0.5	0.5	1	1	0.5	1	0	1	0.5	0.5	0	0.5	0.5	0.5	0.5	1	1	0.5	0.5	1	0.5	0.5	0.5	0.5	0	0.5	0
206	0	0	0.5	0	0	0	0	0	0	0	0	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
209	0	0	0.5	0	0.5	0	0	0	0	0.5	0	0	0.5	0	0.5	0	0	0	0	0.5	0	0.5	0.5	0	0	0	0	0.5	0.5	0.5	0.5
212	0.5	0.5	0.5	0.5	1	0.5	0.5	1	1	0.5	1	1	1	1	0.5	1	0.5	0.5	1	0.5	1	1	1	0.5	1	1	1	1	1	0	0.5
216	0	0	0	0.5	0	0.5	0	0	0	0	0	1	0.5	0	0	0	0	0.5	1	0.5	0	0	0	0.5	0	0	0	0	1	0.5	0
225	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0.5	0	0	0.5	0	0	0	0	0.5	0	0.5	0	0	0	0
227	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
232	0	1	1	1	0.5	1	0.5	0.5	0.5	0.5	0	1	1	1	0.5	0.5	1	1	1	0.5	0.5	0.5	1	0	1	1	1	0.5	1	1	1
233	0.5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
236	0	0	0	0	0	0.5	0	0	0.5	0	0	0	0	0	0	0	0	0	0.5	0	0	0.5	0	0	0	0	0	0	0	0.5	0
238	0	0	0	0	0	0	0.5	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0
239	0	0	0	0	0	1	0.5	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0
241	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
243	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
247	0	1	1	1	0.5	1	0.5	1	0.5	0.5	1	0	1	0.5	0.5	0.5	0.5	1	1	1	0.5	0.5	1	1	1	0.5	0.5	1	0.5	0.5	0.5
